,disease,drug
11642,Prevention of Osteoporosis,estradiol / levonorgestrel
11643,Prevention of Perinatal Group B Streptococcal Disease,clindamycin
11644,Prevention of Perinatal Group B Streptococcal Disease,ampicillin
11645,Prevention of Perinatal Group B Streptococcal Disease,cefazolin
11646,Prevention of Perinatal Group B Streptococcal Disease,vancomycin
11647,Prevention of Perinatal Group B Streptococcal Disease,penicillin g sodium
11648,Prevention of Perinatal Group B Streptococcal Disease,penicillin g potassium
11649,Prevention of Phototoxicity in Erythropoietic Protoporphyria,afamelanotide
11650,Prevention of Radiographic Contrast Nephropathy,fenoldopam
11651,Prevention of Sunburn,zinc oxide
11652,Prevention of Thromboembolism in Atrial Fibrillation,warfarin
11653,Prevention of Thromboembolism in Atrial Fibrillation,aspirin
11654,Prevention of Thromboembolism in Atrial Fibrillation,apixaban
11655,Prevention of Thromboembolism in Atrial Fibrillation,dabigatran
11656,Prevention of Thromboembolism in Atrial Fibrillation,rivaroxaban
11657,Prevention of Thromboembolism in Atrial Fibrillation,edoxaban
11658,Addison's Disease,hydrocortisone
11659,Addison's Disease,fludrocortisone
11660,Addison's Disease,dexamethasone
11661,Primary Biliary Cholangitis,ursodiol
11662,Primary Biliary Cholangitis,colchicine
11663,Primary Biliary Cholangitis,azathioprine
11664,Primary Biliary Cholangitis,obeticholic acid
11665,Primary Biliary Cholangitis,ursodiol
11666,Primary Biliary Cholangitis,colchicine
11667,Primary Biliary Cholangitis,azathioprine
11668,Primary Biliary Cholangitis,obeticholic acid
11669,HIV Infection,lamivudine
11670,HIV Infection,efavirenz / emtricitabine / tenofovir
11671,HIV Infection,ritonavir
11672,HIV Infection,emtricitabine / tenofovir
11673,HIV Infection,tenofovir
11674,HIV Infection,abacavir
11675,Primary Hyperaldosteronism,spironolactone
11676,Primary Hyperaldosteronism Diagnosis,spironolactone
11677,Primary Hyperparathyroidism,cinacalcet
11678,"Hypogonadism, Male",testosterone
11679,"Hypogonadism, Male",chorionic gonadotropin (hcg)
11680,"Hypogonadism, Male",follicle stimulating hormone
11681,"Hypogonadism, Male",methyltestosterone
11682,Primary IGF-1 Deficiency,mecasermin
11683,Primary Immunodeficiency Syndrome,immune globulin intravenous
11684,Primary Immunodeficiency Syndrome,immune globulin subcutaneous
11685,Primary Immunodeficiency Syndrome,immune globulin intravenous and subcutaneous
11686,Primary Immunodeficiency Syndrome,hyaluronidase / immune globulin
11687,Primary Mediastinal Large B-cell Lymphoma,pembrolizumab
11688,Myelofibrosis,ruxolitinib
11689,Myelofibrosis,fedratinib
11690,Merkel Cell Carcinoma,avelumab
11691,Merkel Cell Carcinoma,pembrolizumab
11692,Primary Nocturnal Enuresis,desmopressin
11693,Primary Nocturnal Enuresis,imipramine
11694,Primary Nocturnal Enuresis,nortriptyline
11695,Primary Ovarian Failure,estradiol
11696,Primary Ovarian Failure,conjugated estrogens
11697,Primary Ovarian Failure,conjugated estrogens / medroxyprogesterone
11698,Primary Ovarian Failure,estropipate
11699,Primary Ovarian Failure,esterified estrogens
11700,Primary Ovarian Failure,ethinyl estradiol
11701,Primary Periodic Paralysis,dichlorphenamide
11702,Peritoneal Cancer,bevacizumab
11703,Peritoneal Cancer,niraparib
11704,Ewing's Sarcoma,cyclophosphamide
11705,Ewing's Sarcoma,dactinomycin
11706,Proctitis,hydrocortisone
11707,Proctitis,doxycycline
11708,Proctitis,ceftriaxone
11709,Production of Miosis,carbachol
11710,Production of Miosis,pilocarpine
11711,Production of Miosis,acetylcholine
11712,Progesterone Insufficiency,progesterone
11713,Angina,aspirin
11714,Angina,nitroglycerin
11715,Angina,metoprolol
11716,Angina,amlodipine
11717,Angina,isosorbide mononitrate
11718,Angina,isosorbide dinitrate
11719,Angina,enoxaparin
11720,Angina,ranolazine
11721,Angina,atenolol
11722,Angina,carvedilol
11723,Angina,amlodipine / atorvastatin
11724,Scleroderma,methotrexate
11725,Scleroderma,prednisone
11726,Scleroderma,cyclophosphamide
11727,Mitral Valve Prolapse,atenolol
11728,Mitral Valve Prolapse,metoprolol
11729,Mitral Valve Prolapse,propranolol
11730,Mitral Valve Prolapse,bisoprolol
11731,Mitral Valve Prolapse,nebivolol
11732,Mitral Valve Prolapse,nadolol
11733,Mitral Valve Prolapse,labetalol
11734,Prostate Cancer,bicalutamide
11735,Prostate Cancer,leuprolide
11736,Prostate Cancer,abiraterone
11737,Prostate Cancer,enzalutamide
11738,Prostate Cancer,degarelix
11739,Prostate Cancer,goserelin
11740,Prostate Cancer,docetaxel
11741,Prostate Cancer,estradiol
11742,Prostate Cancer,flutamide
11743,Prostate Cancer,triptorelin
11744,Benign Prostatic Hyperplasia,tamsulosin
11745,Benign Prostatic Hyperplasia,finasteride
11746,Benign Prostatic Hyperplasia,doxazosin
11747,Benign Prostatic Hyperplasia,terazosin
11748,Benign Prostatic Hyperplasia,alfuzosin
11749,Benign Prostatic Hyperplasia,tadalafil
11750,Benign Prostatic Hyperplasia,dutasteride
11751,Benign Prostatic Hyperplasia,prazosin
11752,Benign Prostatic Hyperplasia,silodosin
11753,Benign Prostatic Hyperplasia,dutasteride / tamsulosin
11754,Transurethral Prostatectomy,fosfomycin
11755,Prostatitis,ciprofloxacin
11756,Prostatitis,doxycycline
11757,Prostatitis,oxybutynin
11758,Prostatitis,levofloxacin
11759,Prostatitis,sulfamethoxazole / trimethoprim
11760,Prostatitis,cephalexin
11761,Prostatitis,moxifloxacin
11762,Prostatitis,ofloxacin
11763,Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
11764,Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
11765,Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
11766,"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",warfarin
11767,"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",aspirin
11768,"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",warfarin
11769,Protein C Deficiency,protein c
11770,Protein S Deficiency,warfarin
11771,Thrombotic/Thromboembolic Disorder,heparin
11772,Thrombotic/Thromboembolic Disorder,argatroban
11773,Thrombotic/Thromboembolic Disorder,alteplase
11774,Thrombotic/Thromboembolic Disorder,urokinase
11775,Pityriasis rubra pilaris,triamcinolone
11776,Pityriasis rubra pilaris,acitretin
11777,Pityriasis rubra pilaris,methotrexate
11778,Pityriasis rubra pilaris,urea
11779,Pityriasis rubra pilaris,isotretinoin
11780,Pityriasis rubra pilaris,lactic acid
11781,Pruritus,hydroxyzine
11782,Pruritus,diphenhydramine
11783,Pruritus,gabapentin
11784,Pruritus,hydrocortisone
11785,Pruritus,cyproheptadine
11786,Pruritus,doxepin
11787,Pruritus,ondansetron
11788,Pruritus,ammonium lactate
11789,Pruritus,calamine
11790,Pruritus,lidocaine
11791,Pruritus,diphenhydramine
11792,Anal Itching,hydrocortisone
11793,Anal Itching,clobetasol
11794,Anal Itching,lidocaine
11795,Anal Itching,zinc oxide
11796,Anal Itching,benzocaine
11797,Pruritus of Partial Biliary Obstruction,cholestyramine
11798,Peritoneal Cancer,bevacizumab
11799,Peritoneal Cancer,niraparib
11800,Pseudoallescheriosis,voriconazole
11801,Pseudobulbar Affect,dextromethorphan / quinidine
11802,Tinea Barbae,griseofulvin
11803,"Pseudogout, Prophylaxis",colchicine
11804,Pseudohypoparathyroidism,calcium lactate
11805,Pseudohypoparathyroidism,"calcium phosphate, tribasic"
11806,Pseudomembranous Colitis,metronidazole
11807,Pseudomembranous Colitis,vancomycin
11808,Pseudotumor Cerebri,acetazolamide
11809,Psittacosis,doxycycline
11810,Psittacosis,tetracycline
11811,Psittacosis,chloramphenicol
11812,Psittacosis,minocycline
11813,Psoriasis,clobetasol
11814,Psoriasis,methotrexate
11815,Psoriasis,triamcinolone
11816,Psoriasis,fluocinonide
11817,Psoriasis,triamcinolone
11818,Psoriasis,calcipotriene
11819,Psoriasis,mometasone
11820,Psoriasis,desonide
11821,Psoriasis,prednisone
11822,Psoriasis,acitretin
11823,Psoriasis,cyclosporine
11824,Psoriasis,hydrocortisone
11825,Psoriasis,ustekinumab
11826,Psoriasis,adalimumab
11827,Psoriasis,betamethasone / calcipotriene
11828,Plaque Psoriasis,betamethasone
11829,Plaque Psoriasis,calcipotriene
11830,Plaque Psoriasis,apremilast
11831,Plaque Psoriasis,betamethasone / calcipotriene
11832,Plaque Psoriasis,methylprednisolone
11833,Plaque Psoriasis,etanercept
11834,Plaque Psoriasis,adalimumab
11835,Plaque Psoriasis,secukinumab
11836,Plaque Psoriasis,dexamethasone
11837,Plaque Psoriasis,ixekizumab
11838,Plaque Psoriasis,brodalumab
11839,Plaque Psoriasis,hydroxyurea
11840,Psoriatic Arthritis,methotrexate
11841,Psoriatic Arthritis,prednisone
11842,Psoriatic Arthritis,sulfasalazine
11843,Psoriatic Arthritis,leflunomide
11844,Psoriatic Arthritis,etanercept
11845,Psoriatic Arthritis,infliximab
11846,Psoriatic Arthritis,adalimumab
11847,Psoriatic Arthritis,apremilast
11848,Psoriatic Arthritis,secukinumab
11849,Psoriatic Arthritis,dexamethasone
11850,Psoriatic Arthritis,triamcinolone
11851,Psoriatic Arthritis,certolizumab
11852,Psoriatic Arthritis,ustekinumab
11853,Post Traumatic Stress Disorder,prazosin
11854,Post Traumatic Stress Disorder,sertraline
11855,Post Traumatic Stress Disorder,lamotrigine
11856,Post Traumatic Stress Disorder,mirtazapine
11857,Post Traumatic Stress Disorder,quetiapine
11858,Post Traumatic Stress Disorder,amitriptyline
11859,Post Traumatic Stress Disorder,paroxetine
11860,Post Traumatic Stress Disorder,venlafaxine
11861,Post Traumatic Stress Disorder,risperidone
11862,Post Traumatic Stress Disorder,desvenlafaxine
11863,Post Traumatic Stress Disorder,aripiprazole
11864,Post Traumatic Stress Disorder,dronabinol
11865,Post Traumatic Stress Disorder,asenapine
11866,Post Traumatic Stress Disorder,fluvoxamine
11867,Somatoform Pain Disorder,amitriptyline
11868,Somatoform Pain Disorder,venlafaxine
11869,Somatoform Pain Disorder,sertraline
11870,Somatoform Pain Disorder,escitalopram
11871,Somatoform Pain Disorder,fluoxetine
11872,Somatoform Pain Disorder,imipramine
11873,Somatoform Pain Disorder,duloxetine
11874,Somatoform Pain Disorder,milnacipran
11875,Somatoform Pain Disorder,citalopram
11876,Somatoform Pain Disorder,paroxetine
11877,Somatoform Pain Disorder,fluvoxamine
11878,Somatoform Pain Disorder,desvenlafaxine
11879,Psychosis,haloperidol
11880,Psychosis,perphenazine
11881,Psychosis,chlorpromazine
11882,Psychosis,fluphenazine
11883,Psychosis,prochlorperazine
11884,Psychosis,thiothixene
11885,Psychosis,iloperidone
11886,Somatoform Pain Disorder,amitriptyline
11887,Somatoform Pain Disorder,venlafaxine
11888,Somatoform Pain Disorder,sertraline
11889,Somatoform Pain Disorder,escitalopram
11890,Somatoform Pain Disorder,fluoxetine
11891,Somatoform Pain Disorder,imipramine
11892,Somatoform Pain Disorder,duloxetine
11893,Somatoform Pain Disorder,milnacipran
11894,Somatoform Pain Disorder,citalopram
11895,Somatoform Pain Disorder,paroxetine
11896,Somatoform Pain Disorder,fluvoxamine
11897,Somatoform Pain Disorder,desvenlafaxine
11898,Depressive Psychosis,olanzapine
11899,Depressive Psychosis,amitriptyline
11900,Peripheral T-cell Lymphoma,pralatrexate
11901,Peripheral T-cell Lymphoma,romidepsin
11902,Peripheral T-cell Lymphoma,belinostat
11903,Post Traumatic Stress Disorder,prazosin
11904,Post Traumatic Stress Disorder,sertraline
11905,Post Traumatic Stress Disorder,lamotrigine
11906,Post Traumatic Stress Disorder,mirtazapine
11907,Post Traumatic Stress Disorder,quetiapine
11908,Post Traumatic Stress Disorder,amitriptyline
11909,Post Traumatic Stress Disorder,paroxetine
11910,Post Traumatic Stress Disorder,venlafaxine
11911,Post Traumatic Stress Disorder,risperidone
11912,Post Traumatic Stress Disorder,desvenlafaxine
11913,Post Traumatic Stress Disorder,aripiprazole
11914,Post Traumatic Stress Disorder,dronabinol
11915,Post Traumatic Stress Disorder,asenapine
11916,Post Traumatic Stress Disorder,fluvoxamine
11917,Pubertal Gynecomastia,anastrozole
11918,Pubertal Gynecomastia,clomiphene
11919,Lice,permethrin
11920,Lice,lindane
11921,Lice,piperonyl butoxide / pyrethrins
11922,Lice,spinosad
11923,Pudendal Neuralgia,gabapentin
11924,Pudendal Neuralgia,amitriptyline
11925,Pulmonary Hypertension,sildenafil
11926,Pulmonary Hypertension,isosorbide dinitrate
11927,Pulmonary Hypertension,tadalafil
11928,Pulmonary Hypertension,ambrisentan
11929,Pulmonary Hypertension,bosentan
11930,Pulmonary Hypertension,treprostinil
11931,Pulmonary Hypertension,macitentan
11932,Pulmonary Hypertension,epoprostenol
11933,Pulmonary Hypertension,iloprost
11934,Pulmonary Hypertension,riociguat
11935,Pulmonary Edema,furosemide
11936,Pulmonary Edema,bumetanide
11937,Pulmonary Edema,ethacrynic acid
11938,Pulmonary Embolism,rivaroxaban
11939,Pulmonary Embolism,apixaban
11940,Pulmonary Embolism,heparin
11941,Pulmonary Embolism,fondaparinux
11942,Pulmonary Embolism,dabigatran
11943,Pulmonary Embolism,alteplase
11944,Pulmonary Embolism,edoxaban
11945,Pulmonary Embolism,urokinase
11946,"Pulmonary Embolism, First Event",warfarin
11947,"Pulmonary Embolism, Recurrent Event",warfarin
11948,"Pulmonary Embolism, Recurrent Event",rivaroxaban
11949,Loeffler's Syndrome (Pulmonary Eosinophilia),prednisone
11950,Loeffler's Syndrome (Pulmonary Eosinophilia),dexamethasone
11951,Loeffler's Syndrome (Pulmonary Eosinophilia),triamcinolone
11952,Loeffler's Syndrome (Pulmonary Eosinophilia),cortisone
11953,Pulmonary Fibrosis,mycophenolate mofetil
11954,Pulmonary Fibrosis,infliximab
11955,Pulmonary Fibrosis,mycophenolate mofetil
11956,Pulmonary Fibrosis,infliximab
11957,Pulmonary Hypertension,sildenafil
11958,Pulmonary Hypertension,isosorbide dinitrate
11959,Pulmonary Hypertension,tadalafil
11960,Pulmonary Hypertension,ambrisentan
11961,Pulmonary Hypertension,bosentan
11962,Pulmonary Hypertension,treprostinil
11963,Pulmonary Hypertension,macitentan
11964,Pulmonary Hypertension,epoprostenol
11965,Pulmonary Hypertension,iloprost
11966,Pulmonary Hypertension,riociguat
11967,Lymphangioleiomyomatosis,sirolimus
11968,Pulmonary Tuberculosis,dexamethasone
11969,Prosthetic Heart Valves - Thrombosis Prophylaxis,aspirin
11970,Prosthetic Heart Valves - Thrombosis Prophylaxis,warfarin
11971,Prosthetic Heart Valves - Thrombosis Prophylaxis,dipyridamole
11972,Pupillary Dilation,atropine
11973,Pupillary Dilation,phenylephrine
11974,Pupillary Dilation,tropicamide
11975,Pupillary Dilation,cyclopentolate
11976,Pupillary Dilation,epinephrine
11977,Psoriasis,clobetasol
11978,Psoriasis,methotrexate
11979,Psoriasis,triamcinolone
11980,Psoriasis,fluocinonide
11981,Psoriasis,triamcinolone
11982,Psoriasis,calcipotriene
11983,Psoriasis,mometasone
11984,Psoriasis,desonide
11985,Psoriasis,prednisone
11986,Psoriasis,acitretin
11987,Psoriasis,cyclosporine
11988,Psoriasis,hydrocortisone
11989,Psoriasis,ustekinumab
11990,Psoriasis,adalimumab
11991,Psoriasis,betamethasone / calcipotriene
11992,Kidney Infections (Pyelonephritis),ciprofloxacin
11993,Kidney Infections (Pyelonephritis),cephalexin
11994,Kidney Infections (Pyelonephritis),sulfamethoxazole / trimethoprim
11995,Kidney Infections (Pyelonephritis),levofloxacin
11996,Kidney Infections (Pyelonephritis),amoxicillin / clavulanate
11997,Kidney Infections (Pyelonephritis),ceftriaxone
11998,Kidney Infections (Pyelonephritis),cefuroxime
11999,Kidney Infections (Pyelonephritis),methenamine
12000,Kidney Infections (Pyelonephritis),cefazolin
12001,Kidney Infections (Pyelonephritis),cefepime
12002,Kidney Infections (Pyelonephritis),cefotaxime
12003,Kidney Infections (Pyelonephritis),cefpodoxime
12004,Pyoderma Gangrenosum,infliximab
12005,GERD,omeprazole
12006,GERD,pantoprazole
12007,GERD,ranitidine
12008,GERD,famotidine
12009,GERD,lansoprazole
12010,GERD,esomeprazole
12011,GERD,rabeprazole
12012,GERD,sucralfate
12013,GERD,dexlansoprazole
12014,GERD,omeprazole / sodium bicarbonate
12015,Q Fever,doxycycline
12016,Q Fever,minocycline
12017,Q Fever,doxycycline
12018,Q Fever,minocycline
12019,Hereditary Angioedema,C1 esterase inhibitor (human)
12020,Hereditary Angioedema,ecallantide
12021,Hereditary Angioedema,icatibant
12022,Hereditary Angioedema,conestat alfa
12023,Hereditary Angioedema,lanadelumab
12024,Rheumatoid Arthritis,methotrexate
12025,Rheumatoid Arthritis,prednisone
12026,Rheumatoid Arthritis,meloxicam
12027,Rheumatoid Arthritis,hydroxychloroquine
12028,Rheumatoid Arthritis,sulfasalazine
12029,Rheumatoid Arthritis,leflunomide
12030,Rheumatoid Arthritis,diclofenac
12031,Rheumatoid Arthritis,naproxen
12032,Rheumatoid Arthritis,celecoxib
12033,Rheumatoid Arthritis,acetaminophen / hydrocodone
12034,Rheumatoid Arthritis,ibuprofen
12035,Rabbit Fever (Tularemia),doxycycline
12036,Rabbit Fever (Tularemia),streptomycin
12037,Rabbit Fever (Tularemia),ciprofloxacin
12038,Rabbit Fever (Tularemia),gentamicin
12039,Rabbit Fever (Tularemia),tobramycin
12040,Rabbit Fever (Tularemia),chloramphenicol
12041,Rabbit Fever (Tularemia),minocycline
12042,Rabies Prophylaxis,"rabies immune globulin, human"
12043,Rabies Prophylaxis,"rabies vaccine, purified chick embryo cell"
12044,Rabies Prophylaxis,"rabies vaccine, human diploid cell"
12045,Alkylating Agent Cystitis,sodium bicarbonate
12046,Alkylating Agent Cystitis,citric acid / sodium citrate
12047,Radiation Emergency,potassium iodide
12048,Radiation Emergency,pentetate calcium trisodium
12049,Radiation Emergency,prussian blue
12050,Radiation Emergency,pentetate zinc trisodium
12051,Radiculopathy,naproxen
12052,Radiculopathy,ibuprofen
12053,Radiographic Exam,metoclopramide
12054,Radionuclide Myocardial Perfusion Study,dipyridamole
12055,Radionuclide Myocardial Perfusion Study,adenosine
12056,Radionuclide Myocardial Perfusion Study,regadenoson
12057,Anthrax,ciprofloxacin
12058,Anthrax,levofloxacin
12059,Anthrax,doxycycline
12060,Anthrax,moxifloxacin
12061,Anthrax,penicillin g potassium
12062,Anthrax,chloramphenicol
12063,Anthrax,ofloxacin
12064,Anthrax,anthrax immune globulin intravenous
12065,Ramsay Hunt Syndrome,acyclovir
12066,Ramsay Hunt Syndrome,prednisone
12067,Ramsay Hunt Syndrome,valacyclovir
12068,Glomerulonephritis,azathioprine
12069,Glomerulonephritis,penicillin g benzathine
12070,Skin Rash,hydrocortisone
12071,Skin Rash,prednisone
12072,Skin Rash,diflorasone
12073,Skin Rash,tetracaine
12074,Rat-bite Fever,penicillin v potassium
12075,Rat-bite Fever,penicillin g sodium
12076,Rat-bite Fever,penicillin g potassium
12077,Rat-bite Fever,procaine penicillin
12078,Raynaud's Syndrome,nifedipine
12079,Raynaud's Syndrome,amlodipine
12080,Raynaud's Syndrome,diltiazem
12081,Raynaud's Syndrome,nitroglycerin
12082,Raynaud's Syndrome,felodipine
12083,Raynaud's Syndrome,prazosin
12084,Raynaud's Syndrome,trolamine salicylate
12085,Raynaud's Syndrome,doxazosin
12086,Raynaud's Syndrome,isoxsuprine
12087,Raynaud's Syndrome,isradipine
12088,Raynaud's Syndrome,nisoldipine
12089,Raynaud's Syndrome,nifedipine
12090,Raynaud's Syndrome,amlodipine
12091,Raynaud's Syndrome,diltiazem
12092,Raynaud's Syndrome,nitroglycerin
12093,Raynaud's Syndrome,felodipine
12094,Raynaud's Syndrome,prazosin
12095,Raynaud's Syndrome,trolamine salicylate
12096,Raynaud's Syndrome,doxazosin
12097,Raynaud's Syndrome,isoxsuprine
12098,Raynaud's Syndrome,isradipine
12099,Raynaud's Syndrome,nisoldipine
12100,Raynaud's Syndrome,nifedipine
12101,Raynaud's Syndrome,amlodipine
12102,Raynaud's Syndrome,diltiazem
12103,Raynaud's Syndrome,nitroglycerin
12104,Raynaud's Syndrome,felodipine
12105,Raynaud's Syndrome,prazosin
12106,Raynaud's Syndrome,trolamine salicylate
12107,Raynaud's Syndrome,doxazosin
12108,Raynaud's Syndrome,isoxsuprine
12109,Raynaud's Syndrome,isradipine
12110,Raynaud's Syndrome,nisoldipine
12111,Reiter's Syndrome,adalimumab
12112,Reactive Perforating Collangenosis,allopurinol
12113,Colorectal Cancer,oxaliplatin
12114,Colorectal Cancer,fluorouracil
12115,Colorectal Cancer,leucovorin
12116,Colorectal Cancer,capecitabine
12117,Colorectal Cancer,irinotecan
12118,Colorectal Cancer,bevacizumab
12119,Colorectal Cancer,cetuximab
12120,Colorectal Cancer,methotrexate
12121,Colorectal Cancer,panitumumab
12122,Colorectal Cancer,regorafenib
12123,Eye Redness,fluorometholone
12124,Eye Redness,naphazoline
12125,Eye Redness,tetrahydrozoline
12126,Eye Redness,phenylephrine
12127,Eye Redness,oxymetazoline
12128,Eye Redness,brimonidine
12129,Erythromelalgia,gabapentin
12130,Pre-Exposure Prophylaxis,emtricitabine / tenofovir
12131,Pre-Exposure Prophylaxis,emtricitabine / tenofovir alafenamide
12132,Reduction of Perinatal Transmission of HIV,zidovudine
12133,Reduction of Perinatal Transmission of HIV,nevirapine
12134,Reflex Sympathetic Dystrophy Syndrome,gabapentin
12135,Reflex Sympathetic Dystrophy Syndrome,trazodone
12136,Reflex Sympathetic Dystrophy Syndrome,amitriptyline
12137,Reflex Sympathetic Dystrophy Syndrome,nortriptyline
12138,Reflex Sympathetic Dystrophy Syndrome,milnacipran
12139,Reflex Sympathetic Dystrophy Syndrome,pregabalin
12140,Reflex Sympathetic Dystrophy Syndrome,doxepin
12141,Reflex Sympathetic Dystrophy Syndrome,carbamazepine
12142,GERD,omeprazole
12143,GERD,pantoprazole
12144,GERD,ranitidine
12145,GERD,famotidine
12146,GERD,lansoprazole
12147,GERD,esomeprazole
12148,GERD,rabeprazole
12149,GERD,sucralfate
12150,GERD,dexlansoprazole
12151,GERD,omeprazole / sodium bicarbonate
12152,"Refraction, Assessment",cyclopentolate
12153,"Refraction, Assessment",atropine
12154,"Refraction, Assessment",tropicamide
12155,"Refraction, Assessment",homatropine
12156,Reiter's Syndrome,adalimumab
12157,Rejection Prophylaxis,mycophenolic acid
12158,Rejection Prophylaxis,belatacept
12159,Rejection Prophylaxis,muromonab-cd3
12160,Rejection Reversal,muromonab-cd3
12161,Renal Angiomyolipoma,everolimus
12162,Renal Arteriography,iodixanol
12163,Renal Arteriography,ioversol
12164,Urinary Tract Stones,tamsulosin
12165,Urinary Tract Stones,allopurinol
12166,Urinary Tract Stones,magnesium oxide
12167,Urinary Tract Stones,citric acid / potassium citrate
12168,Urinary Tract Stones,citric acid / sodium citrate
12169,Renal Cell Carcinoma,pazopanib
12170,Renal Cell Carcinoma,sunitinib
12171,Renal Cell Carcinoma,axitinib
12172,Renal Cell Carcinoma,nivolumab
12173,Renal Cell Carcinoma,sorafenib
12174,Renal Cell Carcinoma,everolimus
12175,Renal Cell Carcinoma,bevacizumab
12176,Renal Cell Carcinoma,cabozantinib
12177,Renal Cell Carcinoma,medroxyprogesterone
12178,Renal Cell Carcinoma,aldesleukin
12179,Renal Cell Carcinoma,capecitabine
12180,Renal Cell Carcinoma,temsirolimus
12181,Renal Cell Carcinoma,lenvatinib
12182,Renal Cell Carcinoma,pazopanib
12183,Renal Cell Carcinoma,sunitinib
12184,Renal Cell Carcinoma,axitinib
12185,Renal Cell Carcinoma,nivolumab
12186,Renal Cell Carcinoma,sorafenib
12187,Renal Cell Carcinoma,everolimus
12188,Renal Cell Carcinoma,bevacizumab
12189,Renal Cell Carcinoma,cabozantinib
12190,Renal Cell Carcinoma,medroxyprogesterone
12191,Renal Cell Carcinoma,aldesleukin
12192,Renal Cell Carcinoma,capecitabine
12193,Renal Cell Carcinoma,temsirolimus
12194,Renal Cell Carcinoma,lenvatinib
12195,Renal Failure,furosemide
12196,Renal Failure,torsemide
12197,Renal Failure,ethacrynic acid
12198,Renal Osteodystrophy,calcitriol
12199,Renal Osteodystrophy,ergocalciferol
12200,Renal Osteodystrophy,calcifediol
12201,Urinary Tract Stones,tamsulosin
12202,Urinary Tract Stones,allopurinol
12203,Urinary Tract Stones,magnesium oxide
12204,Urinary Tract Stones,citric acid / potassium citrate
12205,Urinary Tract Stones,citric acid / sodium citrate
12206,Renal Transplant,furosemide
12207,Renal Transplant,azathioprine
12208,Renal Transplant,anti-thymocyte globulin (rabbit)
12209,Renal Transplant,"lymphocyte immune globulin, anti-thy (equine)"
12210,Renal Tubular Acidosis,potassium citrate
12211,Schizophrenia,risperidone
12212,Schizophrenia,clozapine
12213,Schizophrenia,olanzapine
12214,Schizophrenia,quetiapine
12215,Schizophrenia,aripiprazole
12216,Schizophrenia,chlorpromazine
12217,Schizophrenia,paliperidone
12218,Schizophrenia,ziprasidone
12219,Schizophrenia,loxapine
12220,Respiratory Depression,doxapram
12221,Respiratory Distress Syndrome,beractant
12222,Respiratory Distress Syndrome,poractant
12223,Respiratory Distress Syndrome,calfactant
12224,Respiratory Failure,nitric oxide
12225,Respiratory Failure,caffeine / sodium benzoate
12226,Respiratory Depression,doxapram
12227,Respiratory Syncytial Virus,ribavirin
12228,Respiratory Syncytial Virus,palivizumab
12229,Upper Respiratory Tract Infection,amoxicillin
12230,Upper Respiratory Tract Infection,doxycycline
12231,Upper Respiratory Tract Infection,azithromycin
12232,Upper Respiratory Tract Infection,cephalexin
12233,Upper Respiratory Tract Infection,clarithromycin
12234,Upper Respiratory Tract Infection,amoxicillin / clavulanate
12235,Upper Respiratory Tract Infection,sulfamethoxazole / trimethoprim
12236,Upper Respiratory Tract Infection,cefuroxime
12237,Upper Respiratory Tract Infection,erythromycin
12238,Upper Respiratory Tract Infection,cefixime
12239,Upper Respiratory Tract Infection,ampicillin
12240,Restless Legs Syndrome,ropinirole
12241,Restless Legs Syndrome,pramipexole
12242,Restless Legs Syndrome,gabapentin
12243,Restless Legs Syndrome,clonazepam
12244,Restless Legs Syndrome,tramadol
12245,Restless Legs Syndrome,carbidopa / levodopa
12246,Restless Legs Syndrome,pregabalin
12247,Restless Legs Syndrome,clonidine
12248,Restless Legs Syndrome,gabapentin enacarbil
12249,Restless Legs Syndrome,rotigotine
12250,Restless Legs Syndrome,lamotrigine
12251,Restless Legs Syndrome,levodopa
12252,Retinal Disorders,voretigene neparvovec
12253,Retinopathy,ranibizumab
12254,Retinopathy Prophylaxis,vitamin e
12255,"Revascularization Procedures, Prophylaxis",aspirin
12256,"Revascularization Procedures, Prophylaxis",pravastatin
12257,Reversal of Acquired Coagulation Factor Deficiency,prothrombin complex
12258,Reversal of Anesthesia,phentolamine
12259,Reversal of Anticoagulation,coagulation factor Xa
12260,Reversal of Dabigatran Anticoagulation,idarucizumab
12261,Reversal of Neuromuscular Blockade,neostigmine
12262,Reversal of Neuromuscular Blockade,sugammadex
12263,Reversal of Nondepolarizing Muscle Relaxants,pyridostigmine
12264,Reversal of Nondepolarizing Muscle Relaxants,neostigmine
12265,Reversal of Nondepolarizing Muscle Relaxants,sugammadex
12266,Reversal of Nondepolarizing Muscle Relaxants,atropine / edrophonium
12267,Reversal of Opioid Sedation,naloxone
12268,Reversal of Sedation,flumazenil
12269,"Reversible Airways Disease, Maintenance",budesonide
12270,"Reversible Airways Disease, Maintenance",beclomethasone
12271,Rh-Isoimmunization,rho (d) immune globulin
12272,Rhabdomyosarcoma,vincristine
12273,Rhabdomyosarcoma,dactinomycin
12274,Rheumatic Fever,aspirin
12275,Rheumatic Fever Prophylaxis,penicillin v potassium
12276,Rheumatic Fever Prophylaxis,erythromycin
